note,target_hz,block,elapsed_s,gesture,rms,algorithm,frequency_hz,cents
G4,391.99543598174927,1,0.26994604800711386,free sweep ( 2% of recording),0.01588892936706543,loiacono,347.9588653442197,-206.30411042334126
G4,391.99543598174927,1,0.27325722901150584,free sweep ( 2% of recording),0.01588892936706543,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,2,0.5167512450134382,free sweep ( 6% of recording),0.015877464786171913,loiacono,436.0226141258812,184.27932554271996
G4,391.99543598174927,2,0.5195160610019229,free sweep ( 6% of recording),0.015877464786171913,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,3,0.7730001969903242,free sweep (10% of recording),0.015890583395957947,loiacono,417.3643453805524,108.56460247661431
G4,391.99543598174927,3,0.7757675279863179,free sweep (10% of recording),0.015890583395957947,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,4,1.0171760320081376,free sweep (15% of recording),0.015892744064331055,loiacono,413.9166226541146,94.2039965442644
G4,391.99543598174927,4,1.0214221269998234,free sweep (15% of recording),0.015892744064331055,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,5,1.2644765080185607,free sweep (19% of recording),0.015895608812570572,loiacono,395.5076891024588,15.442662550113422
G4,391.99543598174927,5,1.2673931489989627,free sweep (19% of recording),0.015895608812570572,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,6,1.5163807100034319,free sweep (23% of recording),0.01589040830731392,loiacono,399.06635371661616,30.950147595085248
G4,391.99543598174927,6,1.519047531997785,free sweep (23% of recording),0.01589040830731392,librosa,406.0039560392016,60.788313349265856
G4,391.99543598174927,7,1.7669574710016605,free sweep (27% of recording),0.014956719242036343,loiacono,397.8154000196764,25.514722821525066
G4,391.99543598174927,7,1.7699706429848447,free sweep (27% of recording),0.014956719242036343,librosa,400.0264989899698,35.11045758554229
G4,391.99543598174927,8,2.023961719998624,free sweep (31% of recording),0.014734608121216297,loiacono,393.86103644050337,8.219814220359694
G4,391.99543598174927,8,2.027292407990899,free sweep (31% of recording),0.014734608121216297,librosa,402.03439573133846,43.778493866497236
G4,391.99543598174927,9,2.2724418999860063,free sweep (35% of recording),0.014714146964251995,loiacono,396.63132803383075,20.354131975230928
G4,391.99543598174927,9,2.275938458973542,free sweep (35% of recording),0.014714146964251995,librosa,403.8144508295835,51.42681903480848
G4,391.99543598174927,10,2.516630438010907,free sweep (40% of recording),0.014712987467646599,loiacono,393.0388494645191,4.6020767394099265
G4,391.99543598174927,10,2.519383281993214,free sweep (40% of recording),0.014712987467646599,librosa,405.5044973446793,58.657269603177994
G4,391.99543598174927,11,2.7656927600037307,free sweep (44% of recording),0.01469853799790144,loiacono,394.2923470557697,10.11462229464512
G4,391.99543598174927,11,2.769051921000937,free sweep (44% of recording),0.01469853799790144,librosa,404.9011522591528,56.07946983364856
G4,391.99543598174927,12,3.023594701982802,free sweep (48% of recording),0.014694665558636189,loiacono,393.6099670341298,7.115875363428752
G4,391.99543598174927,12,3.026434959989274,free sweep (48% of recording),0.014694665558636189,librosa,404.5768997894773,54.69250957055077
G4,391.99543598174927,13,3.2631292199948803,free sweep (52% of recording),0.014685239642858505,loiacono,392.5933339537495,2.6385835918842826
G4,391.99543598174927,13,3.2664276770083234,free sweep (52% of recording),0.014685239642858505,librosa,404.9939546866243,56.4762192931774
G4,391.99543598174927,14,3.5145529709989205,free sweep (56% of recording),0.014699944294989109,loiacono,392.1064202872999,0.49008890472139255
G4,391.99543598174927,14,3.518046745011816,free sweep (56% of recording),0.014699944294989109,librosa,402.16539219583797,44.34249685445925
G4,391.99543598174927,15,3.7727649050066248,free sweep (60% of recording),0.014697779901325703,loiacono,391.06953037427525,-4.094066596728583
G4,391.99543598174927,15,3.7759081609838177,free sweep (60% of recording),0.014697779901325703,librosa,403.71977541718,51.0208788455605
G4,391.99543598174927,16,4.011936713999603,free sweep (65% of recording),0.014710646122694016,loiacono,391.38069230660494,-2.717124920938805
G4,391.99543598174927,16,4.014738680009032,free sweep (65% of recording),0.014710646122694016,librosa,403.8575946223302,51.6117753014036
G4,391.99543598174927,17,4.265202148992103,free sweep (69% of recording),0.014684882946312428,loiacono,393.6375528277119,7.237203062619946
G4,391.99543598174927,17,4.268099743989296,free sweep (69% of recording),0.014684882946312428,librosa,403.4629217284337,49.9190864801706
G4,391.99543598174927,18,4.51239849999547,free sweep (73% of recording),0.014711490832269192,loiacono,390.44152927358897,-6.876412691396476
G4,391.99543598174927,18,4.515222267014906,free sweep (73% of recording),0.014711490832269192,librosa,401.03472776731314,39.46837893278514
G4,391.99543598174927,19,4.765429054998094,free sweep (77% of recording),0.014705653302371502,loiacono,388.9820462288785,-13.359946866147778
G4,391.99543598174927,19,4.7690064549969975,free sweep (77% of recording),0.014705653302371502,librosa,400.09461633036733,35.40523060691353
G4,391.99543598174927,20,5.017652195005212,free sweep (81% of recording),0.014693588018417358,loiacono,392.86426801426666,3.832919958473648
G4,391.99543598174927,20,5.021673098002793,free sweep (81% of recording),0.014693588018417358,librosa,398.27673629099877,27.52122712915158
G4,391.99543598174927,21,5.263338622986339,free sweep (85% of recording),0.014670277945697308,loiacono,389.58321433157073,-10.686406321368127
G4,391.99543598174927,21,5.266290731000481,free sweep (85% of recording),0.014670277945697308,librosa,404.37169745123356,53.814200902368164
G4,391.99543598174927,22,5.516436975012766,free sweep (90% of recording),0.014674549922347069,loiacono,389.7291433136158,-10.038046974986825
G4,391.99543598174927,22,5.518943406001199,free sweep (90% of recording),0.014674549922347069,librosa,410.3613655722996,79.26966523945859
