note,target_hz,block,elapsed_s,gesture,rms,algorithm,frequency_hz,cents
G4,391.99543598174927,1,0.8043553389979934,free sweep ( 2% of recording),0.00894003827124834,loiacono,380.6510813621215,-50.841216521883936
G4,391.99543598174927,1,0.8043760479995399,free sweep ( 2% of recording),0.00894003827124834,librosa,410.99162380619407,81.9265612208188
G4,391.99543598174927,2,2.6684241839975584,free sweep ( 6% of recording),0.008713091723620892,loiacono,409.1461596492397,74.13534408227216
G4,391.99543598174927,2,2.668441535999591,free sweep ( 6% of recording),0.008713091723620892,librosa,407.7408055311566,68.17858530353004
G4,391.99543598174927,3,2.9380220799976087,free sweep (10% of recording),0.008862915448844433,loiacono,397.3767583151709,23.60476552819912
G4,391.99543598174927,3,2.9380394519976107,free sweep (10% of recording),0.008862915448844433,librosa,410.3078252370451,79.04377433832438
G4,391.99543598174927,4,3.2015962789992045,free sweep (15% of recording),0.014807751402258873,loiacono,392.37269655967043,1.665356816869569
G4,391.99543598174927,4,3.2016203149978537,free sweep (15% of recording),0.014807751402258873,librosa,394.00289438534463,8.843244986218794
G4,391.99543598174927,5,3.471613743000489,free sweep (19% of recording),0.015131418593227863,loiacono,390.54772685998773,-6.405592184734085
G4,391.99543598174927,5,3.47163077499863,free sweep (19% of recording),0.015131418593227863,librosa,394.29428093535563,10.123113430728594
G4,391.99543598174927,6,3.735657913999603,free sweep (23% of recording),0.014623681083321571,loiacono,393.5852694679965,7.007243437191421
G4,391.99543598174927,6,3.7356743549971725,free sweep (23% of recording),0.014623681083321571,librosa,394.02889341127724,8.957479969249944
G4,391.99543598174927,7,4.0045699429974775,free sweep (27% of recording),0.011961141601204872,loiacono,391.93455355639605,-0.2689059721653255
G4,391.99543598174927,7,4.004587024999637,free sweep (27% of recording),0.011961141601204872,librosa,394.1023817689968,9.280333664996828
G4,391.99543598174927,8,4.2689773159982,free sweep (31% of recording),0.012752105481922626,loiacono,394.7456504114072,12.103814938583058
G4,391.99543598174927,8,4.268994056998054,free sweep (31% of recording),0.012752105481922626,librosa,394.5205509584158,11.116315797394229
G4,391.99543598174927,9,4.5389694509976835,free sweep (35% of recording),0.015132716856896877,loiacono,396.4338110993255,19.49178654487522
G4,391.99543598174927,9,4.538989107997622,free sweep (35% of recording),0.015132716856896877,librosa,393.93116157552345,8.52802499489791
G4,391.99543598174927,10,4.814975754998159,free sweep (40% of recording),0.0144190713763237,loiacono,393.04216496191174,4.616680582704861
G4,391.99543598174927,10,4.814992517000064,free sweep (40% of recording),0.0144190713763237,librosa,393.54687046199837,6.838332365429364
G4,391.99543598174927,11,5.07934713099894,free sweep (44% of recording),0.015451080165803432,loiacono,393.2008882245193,5.315668304693342
G4,391.99543598174927,11,5.079370043997187,free sweep (44% of recording),0.015451080165803432,librosa,393.762722919205,7.787618735099772
G4,391.99543598174927,12,5.348725304000254,free sweep (48% of recording),0.014415822923183441,loiacono,391.6667798197594,-1.4521071960797693
G4,391.99543598174927,12,5.348742605998268,free sweep (48% of recording),0.014415822923183441,librosa,393.2338891210351,5.460962682249132
G4,391.99543598174927,13,5.612608872997953,free sweep (52% of recording),0.014939558692276478,loiacono,391.6182083324282,-1.6668147777679467
G4,391.99543598174927,13,5.612625775000197,free sweep (52% of recording),0.014939558692276478,librosa,393.2959715462357,5.73426243589878
G4,391.99543598174927,14,5.881275209998421,free sweep (56% of recording),0.013820585794746876,loiacono,391.465972707672,-2.3399365359653044
G4,391.99543598174927,14,5.881291760997556,free sweep (56% of recording),0.013820585794746876,librosa,393.214485413745,5.3755346749361195
G4,391.99543598174927,15,6.1461756479984615,free sweep (60% of recording),0.014388041570782661,loiacono,392.5538388781312,2.4644118643296484
G4,391.99543598174927,15,6.14619780999783,free sweep (60% of recording),0.014388041570782661,librosa,393.4747588144684,6.521080246189791
G4,391.99543598174927,16,6.4153825899993535,free sweep (65% of recording),0.0134652778506279,loiacono,392.45160333381045,2.0134757387022177
G4,391.99543598174927,16,6.415400051999313,free sweep (65% of recording),0.0134652778506279,librosa,393.124999932834,4.981505594606499
G4,391.99543598174927,17,6.6791808390007645,free sweep (69% of recording),0.013887572102248669,loiacono,392.15184177765826,0.6906229240855026
G4,391.99543598174927,17,6.679198912999709,free sweep (69% of recording),0.013887572102248669,librosa,392.95606490255943,4.23739383800224
G4,391.99543598174927,18,6.949191257997882,free sweep (73% of recording),0.014194889925420284,loiacono,395.8402886084856,16.89792026141008
G4,391.99543598174927,18,6.949214361997292,free sweep (73% of recording),0.014194889925420284,librosa,392.35082553436496,1.5688543860376236
G4,391.99543598174927,19,7.213081409998267,free sweep (77% of recording),0.014490658417344093,loiacono,382.93847477582653,-40.46908616806601
G4,391.99543598174927,19,7.213105173999793,free sweep (77% of recording),0.014490658417344093,librosa,390.80618074939383,-5.260287386447744
G4,391.99543598174927,20,7.482444723998924,free sweep (81% of recording),0.013582327403128147,loiacono,395.23462864465034,14.246997236160704
G4,391.99543598174927,20,7.4824641609993705,free sweep (81% of recording),0.013582327403128147,librosa,389.7719208804435,-9.848033173327117
G4,391.99543598174927,21,7.746198901000753,free sweep (85% of recording),0.010719840414822102,loiacono,386.53354151880586,-24.291896849914064
G4,391.99543598174927,21,7.746216985000501,free sweep (85% of recording),0.010719840414822102,librosa,392.76627081283715,3.4010220514465823
G4,391.99543598174927,22,10.688900102999469,free sweep (90% of recording),0.012268793769180775,loiacono,393.4925423667355,6.599323627222948
G4,391.99543598174927,22,10.68892199399852,free sweep (90% of recording),0.012268793769180775,librosa,395.55362863783387,15.643739473343988
G4,391.99543598174927,23,10.965096051000728,free sweep (94% of recording),0.012765894643962383,loiacono,390.588669281893,-6.224110652779697
G4,391.99543598174927,23,10.965119264998066,free sweep (94% of recording),0.012765894643962383,librosa,395.8748195349499,17.048936997262963
G4,391.99543598174927,24,11.229133657998318,free sweep (98% of recording),0.011265247128903866,loiacono,395.0938994629802,13.630455772921323
G4,391.99543598174927,24,11.2291560809972,free sweep (98% of recording),0.011265247128903866,librosa,395.0102954584362,13.26407852603288
A4,440.0,1,0.26889209799992386,free sweep ( 2% of recording),0.011150876060128212,loiacono,448.37684424233436,32.64990056372598
A4,440.0,1,0.2689089999985299,free sweep ( 2% of recording),0.011150876060128212,librosa,453.718172164982,53.15150330882442
A4,440.0,2,0.5335551190000842,free sweep ( 6% of recording),0.010636578314006329,loiacono,457.5573926845896,67.73903065359909
A4,440.0,2,0.5335714299981191,free sweep ( 6% of recording),0.010636578314006329,librosa,455.03359692275933,58.16345442165307
A4,440.0,3,0.8025696679978864,free sweep (10% of recording),0.010777536779642105,loiacono,457.4563397996977,67.35664033620411
A4,440.0,3,0.8025860380002996,free sweep (10% of recording),0.010777536779642105,librosa,454.36600783904066,55.62166057419701
A4,440.0,4,1.0665460889977112,free sweep (15% of recording),0.011162682436406612,loiacono,451.6938751966208,45.41019329062561
A4,440.0,4,1.0665643829997862,free sweep (15% of recording),0.011162682436406612,librosa,455.3918814119397,59.526057630159215
A4,440.0,5,1.3362958879988582,free sweep (19% of recording),0.011720220558345318,loiacono,449.2534609831408,36.03131320833043
A4,440.0,5,1.3363123890012503,free sweep (19% of recording),0.011720220558345318,librosa,453.31776076495953,51.62299518865673
A4,440.0,6,1.6001226879998285,free sweep (23% of recording),0.01379544846713543,loiacono,453.086007915216,50.737697825492575
A4,440.0,6,1.6001449799987313,free sweep (23% of recording),0.01379544846713543,librosa,452.37667853445566,48.025238338065144
A4,440.0,7,2.9366433459981636,free sweep (27% of recording),0.009388867765665054,loiacono,457.9717467392438,69.30608923398688
A4,440.0,7,2.9366643949979334,free sweep (27% of recording),0.009388867765665054,librosa,418.34156921511567,-87.38659538496127
A4,440.0,8,3.2006000199980917,free sweep (31% of recording),0.010203775949776173,loiacono,459.3588256869199,74.54162853746926
A4,440.0,8,3.2006171719986014,free sweep (31% of recording),0.010203775949776173,librosa,456.37547761267285,63.261299689342074
A4,440.0,9,3.469313162000617,free sweep (35% of recording),0.010529717430472374,loiacono,455.68098726491667,60.624784044841455
A4,440.0,9,3.469329503001063,free sweep (35% of recording),0.010529717430472374,librosa,455.98881785240576,61.79390648734685
A4,440.0,10,3.7336415739991935,free sweep (40% of recording),0.010195211507380009,loiacono,453.79184120337817,53.4325764563049
A4,440.0,10,3.733664026000042,free sweep (40% of recording),0.010195211507380009,librosa,457.699932340263,68.27826590578834
A4,440.0,11,4.00342063700009,free sweep (44% of recording),0.010277790948748589,loiacono,448.7902000210651,34.24517906560374
A4,440.0,11,4.003437187999225,free sweep (44% of recording),0.010277790948748589,librosa,456.62169536513056,64.19506066799418
A4,440.0,12,4.267094218997954,free sweep (48% of recording),0.010419679805636406,loiacono,457.7050940342068,68.29778972322217
A4,440.0,12,4.267112372999691,free sweep (48% of recording),0.010419679805636406,librosa,456.247701502153,62.776520517177616
A4,440.0,13,4.535864647998096,free sweep (52% of recording),0.010527490638196468,loiacono,463.55696458765107,90.29173534659621
A4,440.0,13,4.535882030999346,free sweep (52% of recording),0.010527490638196468,librosa,457.8142059953362,68.710448076041
A4,440.0,14,4.800749804999214,free sweep (56% of recording),0.010282278060913086,loiacono,450.58556845193493,41.15709996853092
A4,440.0,14,4.800772156999301,free sweep (56% of recording),0.010282278060913086,librosa,455.9201437962582,61.53315487832635
A4,440.0,15,5.069680895998317,free sweep (60% of recording),0.010447947308421135,loiacono,451.311975873829,43.945845856846816
A4,440.0,15,5.069697456998256,free sweep (60% of recording),0.010447947308421135,librosa,455.0945081010078,58.39518335152124
A4,440.0,16,5.333341293000558,free sweep (65% of recording),0.010305351577699184,loiacono,452.6852919953322,49.205891529943905
A4,440.0,16,5.333357764000539,free sweep (65% of recording),0.010305351577699184,librosa,452.86997362669524,49.91203757099406
A4,440.0,17,5.603066644998762,free sweep (69% of recording),0.011102188378572464,loiacono,458.0089681005837,69.44678845853538
A4,440.0,17,5.6030904590006685,free sweep (69% of recording),0.011102188378572464,librosa,453.1047691457411,50.80938268902088
A4,440.0,18,5.867202465000446,free sweep (73% of recording),0.010779856704175472,loiacono,450.34087843785017,40.21669979329198
A4,440.0,18,5.8672252369979105,free sweep (73% of recording),0.010779856704175472,librosa,452.5522940516803,48.69718403986233
A4,440.0,19,6.135973363998346,free sweep (77% of recording),0.010073003359138966,loiacono,452.5009334862673,48.500693586014016
A4,440.0,19,6.135989474998496,free sweep (77% of recording),0.010073003359138966,librosa,452.07147681264416,46.85684492697686
A4,440.0,20,6.4008842689981975,free sweep (81% of recording),0.010152295231819153,loiacono,448.66780379582997,33.77296418085844
A4,440.0,20,6.400901261000399,free sweep (81% of recording),0.010152295231819153,librosa,454.2558259172075,55.201792399082905
A4,440.0,21,6.6704112679981336,free sweep (85% of recording),0.009899002499878407,loiacono,449.86994799004157,38.40536654462007
A4,440.0,21,6.670433610001055,free sweep (85% of recording),0.009899002499878407,librosa,452.9421607814213,50.1879730672948
A4,440.0,22,6.933506663997832,free sweep (90% of recording),0.01117764599621296,loiacono,445.9159551409081,23.12195678538644
A4,440.0,22,6.933523486000922,free sweep (90% of recording),0.01117764599621296,librosa,450.5794115758356,41.13344393711487
A4,440.0,23,7.203464180998708,free sweep (94% of recording),0.01001603901386261,loiacono,447.38208750365243,28.804764593629862
A4,440.0,23,7.203481102998921,free sweep (94% of recording),0.01001603901386261,librosa,452.16863822543996,47.228890236485825
A4,440.0,24,9.877460644998791,free sweep (98% of recording),0.009930343367159367,loiacono,460.4889429319002,78.7955899104246
A4,440.0,24,9.877477596000972,free sweep (98% of recording),0.009930343367159367,librosa,454.52108212814,56.21242678705735
B4,493.8833012561241,1,0.2694138760016358,free sweep ( 2% of recording),0.016366632655262947,loiacono,500.6834598594398,23.674327417928914
B4,493.8833012561241,1,0.269429805000982,free sweep ( 2% of recording),0.016366632655262947,librosa,501.0325840561761,24.881088006195533
B4,493.8833012561241,2,0.5350683340002433,free sweep ( 6% of recording),0.0156773142516613,loiacono,501.9407359416291,28.016214064165588
B4,493.8833012561241,2,0.5350851859984687,free sweep ( 6% of recording),0.0156773142516613,librosa,501.1346057330328,25.23357091149689
B4,493.8833012561241,3,0.8037512080009037,free sweep (10% of recording),0.014513563364744186,loiacono,496.021003557296,7.477225314642748
B4,493.8833012561241,3,0.8037676080020901,free sweep (10% of recording),0.014513563364744186,librosa,501.5025558038835,26.504235403192826
B4,493.8833012561241,4,1.0797453439990932,free sweep (15% of recording),0.016722258180379868,loiacono,501.6990595642076,27.18245202442236
B4,493.8833012561241,4,1.0797704010001326,free sweep (15% of recording),0.016722258180379868,librosa,500.5662702993468,23.269068766778158
B4,493.8833012561241,5,1.3434022330002335,free sweep (19% of recording),0.01753777638077736,loiacono,502.38404950848127,29.54456346330649
B4,493.8833012561241,5,1.3434191449996433,free sweep (19% of recording),0.01753777638077736,librosa,499.59296017274977,19.899548970224295
B4,493.8833012561241,6,1.6131947690009838,free sweep (23% of recording),0.017565151676535606,loiacono,504.62377436790575,37.24558472444936
B4,493.8833012561241,6,1.6132196559992735,free sweep (23% of recording),0.017565151676535606,librosa,499.7955679935352,20.601501319827342
B4,493.8833012561241,7,1.8768358990018896,free sweep (27% of recording),0.019100217148661613,loiacono,500.9624181582364,24.63862453776191
B4,493.8833012561241,7,1.8768539730008342,free sweep (27% of recording),0.019100217148661613,librosa,499.42088749597474,19.303164684684827
