note,target_hz,block,elapsed_s,gesture,rms,algorithm,frequency_hz,cents
G4,391.99543598174927,1,0.2665512999810744,free sweep ( 2% of recording),0.07835504412651062,loiacono,395.9403648304267,17.335555010620975
G4,391.99543598174927,1,0.26657061598962173,free sweep ( 2% of recording),0.07835504412651062,librosa,395.62929656274036,15.974886378180178
G4,391.99543598174927,2,0.534143613971537,free sweep ( 6% of recording),0.08958026021718979,loiacono,393.4624075490139,6.466735548240456
G4,391.99543598174927,2,0.5341676489915699,free sweep ( 6% of recording),0.08958026021718979,librosa,395.4567172397158,15.219531840969667
G4,391.99543598174927,3,0.7996619249752257,free sweep (10% of recording),0.09554503113031387,loiacono,394.05041692323385,9.052044656522824
G4,391.99543598174927,3,0.7996782459958922,free sweep (10% of recording),0.09554503113031387,librosa,395.18940773862323,14.048906164215492
G4,391.99543598174927,4,1.067114434990799,free sweep (15% of recording),0.09418614208698273,loiacono,395.04939809889845,13.435447406597497
G4,391.99543598174927,4,1.0671373679942917,free sweep (15% of recording),0.09418614208698273,librosa,394.6524417449401,11.694981881069348
G4,391.99543598174927,5,1.3331604859849904,free sweep (19% of recording),0.07924164831638336,loiacono,398.9064477774732,30.256302868348982
G4,391.99543598174927,5,1.333183028997155,free sweep (19% of recording),0.07924164831638336,librosa,394.7824791094596,12.265326843512812
G4,391.99543598174927,6,1.5992078809940722,free sweep (23% of recording),0.04095764085650444,loiacono,394.0057662119848,8.855863639568968
G4,391.99543598174927,6,1.5992248529801145,free sweep (23% of recording),0.04095764085650444,librosa,394.80161228261204,12.349229245285512
G4,391.99543598174927,7,1.8655903939798009,free sweep (27% of recording),0.034621864557266235,loiacono,393.6869972875953,7.454648162199002
G4,391.99543598174927,7,1.8656079069769476,free sweep (27% of recording),0.034621864557266235,librosa,394.9967402138302,13.204668166509894
G4,391.99543598174927,8,2.132767385977786,free sweep (31% of recording),0.030107149854302406,loiacono,394.15333852299426,9.504164752808137
G4,391.99543598174927,8,2.1327902089979034,free sweep (31% of recording),0.030107149854302406,librosa,394.3621702599637,10.42117048825182
G4,391.99543598174927,9,2.3994835639896337,free sweep (35% of recording),0.02975507080554962,loiacono,393.0276104989214,4.552571307207056
G4,391.99543598174927,9,2.3995063259790186,free sweep (35% of recording),0.02975507080554962,librosa,394.5252694032148,11.13702114069325
G4,391.99543598174927,10,2.666068655991694,free sweep (40% of recording),0.03052861988544464,loiacono,396.7430393865004,20.841665998585015
