note,target_hz,block,elapsed_s,gesture,rms,algorithm,frequency_hz,cents
G4,391.99543598174927,1,0.26406152901472524,free sweep ( 2% of recording),0.012762597762048244,loiacono,391.87787438433895,-0.5192845301246543
G4,391.99543598174927,1,0.2640816570201423,free sweep ( 2% of recording),0.012762597762048244,librosa,394.52042451150254,11.115760923291237
G4,391.99543598174927,2,0.5338406710070558,free sweep ( 6% of recording),0.012991243973374367,loiacono,397.39723655409927,23.693979882806904
G4,391.99543598174927,2,0.5338572220061906,free sweep ( 6% of recording),0.012991243973374367,librosa,396.0661669898114,17.885532756647958
G4,391.99543598174927,3,0.7988195490033831,free sweep (10% of recording),0.011139637790620327,loiacono,400.03585092066646,35.15093038331636
G4,391.99543598174927,3,0.7988422109920066,free sweep (10% of recording),0.011139637790620327,librosa,397.5302860104996,24.273503788427345
G4,391.99543598174927,4,1.0673426669964101,free sweep (15% of recording),0.012360801920294762,loiacono,394.9150814632671,12.846728442091965
G4,391.99543598174927,4,1.0673659100139048,free sweep (15% of recording),0.012360801920294762,librosa,396.00958570629973,17.638194179779756
G4,391.99543598174927,5,1.3444339300040156,free sweep (19% of recording),0.012249785475432873,loiacono,392.92296266852435,4.091550234381306
G4,391.99543598174927,5,1.344458627019776,free sweep (19% of recording),0.012249785475432873,librosa,395.2441395759058,14.288657173633034
G4,391.99543598174927,6,1.613921598996967,free sweep (23% of recording),0.011816813610494137,loiacono,395.22077360078725,14.186307351263027
G4,391.99543598174927,6,1.6139447720197495,free sweep (23% of recording),0.011816813610494137,librosa,396.77668378103886,20.988470973230214
G4,391.99543598174927,7,1.883127389010042,free sweep (27% of recording),0.011583248153328896,loiacono,397.4017081831922,23.71346012140514
G4,391.99543598174927,7,1.8831505720154382,free sweep (27% of recording),0.011583248153328896,librosa,397.36248874811145,23.542596809458605
G4,391.99543598174927,8,2.147339704009937,free sweep (31% of recording),0.01202130876481533,loiacono,399.62452633909453,33.369926337378146
G4,391.99543598174927,8,2.1473622460034676,free sweep (31% of recording),0.01202130876481533,librosa,397.7937868017833,25.420662724292725
G4,391.99543598174927,9,2.416185342008248,free sweep (35% of recording),0.011358805932104588,loiacono,395.9651686802168,17.444005494931407
G4,391.99543598174927,9,2.416208384995116,free sweep (35% of recording),0.011358805932104588,librosa,397.4160743462701,23.77604349893941
G4,391.99543598174927,10,2.6852632829977665,free sweep (40% of recording),0.011820460669696331,loiacono,395.3362234888297,14.69195281211329
G4,391.99543598174927,10,2.685280525009148,free sweep (40% of recording),0.011820460669696331,librosa,396.6191038246664,20.30077438151283
G4,391.99543598174927,11,2.955938678001985,free sweep (44% of recording),0.01254981942474842,loiacono,393.9716170989515,8.705808299104092
G4,391.99543598174927,11,2.955954538017977,free sweep (44% of recording),0.01254981942474842,librosa,396.95634051451015,21.772179978451835
G4,391.99543598174927,12,3.231805704010185,free sweep (48% of recording),0.011579751968383789,loiacono,396.00141454739776,17.602471977670273
G4,391.99543598174927,12,3.2318273650016636,free sweep (48% of recording),0.011579751968383789,librosa,398.1309075676023,26.887221024252195
G4,391.99543598174927,13,3.495036993001122,free sweep (52% of recording),0.012513861060142517,loiacono,403.0938608961553,48.33474490032481
G4,391.99543598174927,13,3.4950536440010183,free sweep (52% of recording),0.012513861060142517,librosa,398.4229931595362,28.156861519892274
G4,391.99543598174927,14,3.76522716099862,free sweep (56% of recording),0.011463905684649944,loiacono,398.68710955741204,29.304124152982524
G4,391.99543598174927,14,3.765248651005095,free sweep (56% of recording),0.011463905684649944,librosa,399.7191648711125,33.779866270727226
G4,391.99543598174927,15,4.029164951003622,free sweep (60% of recording),0.01171213947236538,loiacono,397.94698772740526,26.087278462864617
G4,391.99543598174927,15,4.029188425018219,free sweep (60% of recording),0.01171213947236538,librosa,398.10324476240856,26.76692779110406
G4,391.99543598174927,16,4.297524879017146,free sweep (65% of recording),0.010241296142339706,loiacono,399.9950300577264,34.974261033230974
