commit,date,subject,dataset,note,expected_hz,actual_hz,cents,hole_z_mm,hole_diameter_mm
d5c29dc21272,2025-05-08,"another fipple, as printed",Quena.scad comment,F#,740.0,731.0,-21.18,165.5000,10.8800
d5c29dc21272,2025-05-08,"another fipple, as printed",Quena.scad comment,G,784.0,778.0,-13.30,,
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,G,392.0,386.0,-26.70,,
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,A,440.0,434.0,-23.77,324.0000,10.0000
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,B,493.88,478.0,-56.58,289.2500,10.0000
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,C,523.0,514.0,-30.05,263.7500,9.5000
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,D,587.33,580.0,-21.74,228.5000,11.0000
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,E,659.25,654.0,-13.84,197.0000,11.0000
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,F#,740.0,731.0,-21.18,170.0000,10.8800
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",Quena.scad comment,G,784.0,778.0,-13.30,,
0a7c3d21657f,2025-04-10,8C as printed at the Node,Quena.scad comment,G,392.0,391.0,-4.42,,
0a7c3d21657f,2025-04-10,8C as printed at the Node,Quena.scad comment,A,440.0,443.0,11.76,345.2500,10.0000
0a7c3d21657f,2025-04-10,8C as printed at the Node,Quena.scad comment,C,523.0,528.0,16.47,285.0000,9.5000
0a7c3d21657f,2025-04-10,8C as printed at the Node,Quena.scad comment,D,587.33,595.0,22.46,249.7500,11.0000
0a7c3d21657f,2025-04-10,8C as printed at the Node,Quena.scad comment,E,659.25,660.0,1.97,218.2500,11.0000
0a7c3d21657f,2025-04-10,8C as printed at the Node,Quena.scad comment,F#,740.0,745.0,11.66,191.2500,10.8800
0a7c3d21657f,2025-04-10,8C as printed at the Node,Quena.scad comment,G,784.0,785.0,2.21,,
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,Quena.scad comment,G,392.0,391.0,-4.42,,
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,Quena.scad comment,A,440.0,443.0,11.76,345.2500,10.0000
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,Quena.scad comment,C,523.0,528.0,16.47,285.0000,9.5000
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,Quena.scad comment,D,587.33,595.0,22.46,249.7500,11.0000
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,Quena.scad comment,E,659.25,660.0,1.97,218.2500,11.0000
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,Quena.scad comment,F#,740.0,745.0,11.66,191.2500,10.8800
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,Quena.scad comment,G,784.0,785.0,2.21,,
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,G,392.0,391.0,-4.42,,
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,A,440.0,443.0,11.76,345.2500,10.0000
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,B,493.88,488.0,-20.74,310.5000,10.0000
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,C,523.0,528.0,16.47,285.0000,9.5000
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,D,587.33,595.0,22.46,249.7500,11.0000
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,E,659.25,660.0,1.97,218.2500,11.0000
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,F#,740.0,745.0,11.66,191.2500,10.8800
dd2c7fc5a4d2,2025-04-10,still broke :),Quena.scad comment,G,784.0,785.0,2.21,,
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,G,392.0,391.0,-4.42,,
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,A,440.0,443.0,11.76,345.2500,10.0000
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,B,493.88,488.0,-20.74,310.5000,10.0000
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,C,523.0,528.0,16.47,285.0000,9.5000
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,D,587.33,595.0,22.46,249.7500,11.0000
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,E,659.25,660.0,1.97,218.2500,11.0000
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,F#,740.0,745.0,11.66,191.2500,10.8800
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,Quena.scad comment,G,784.0,785.0,2.21,,
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,G,392.0,387.0,-22.22,,
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,A,440.0,433.0,-27.76,346.7500,10.0000
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,B,493.88,488.0,-20.74,312.7500,10.0000
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,C,523.0,517.0,-19.98,285.7500,9.5000
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,D,587.33,577.0,-30.72,250.2500,11.0000
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,E,659.25,649.0,-27.13,219.7500,11.0000
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,F#,740.0,740.0,0.00,192.2500,10.8800
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,Quena.scad comment,G,784.0,778.0,-13.30,,
