commit,date,subject,hole_index,note,z_mm,diameter_mm,source
WORKTREE,,current working tree,1,A,306.6445,10.1000,"translate([0, 0, tuned_length(341)- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 10.1);"
WORKTREE,,current working tree,2,B,268.6588,10.3500,"translate([0, 0, tuned_length(302.75)- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 10.35);"
WORKTREE,,current working tree,3,C,245.3211,9.7500,"translate([0, 0, tuned_length(279.25)- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 9.75);"
WORKTREE,,current working tree,4,D,211.8042,11.1000,"translate([0, 0, tuned_length(245.5)- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 11.1);"
WORKTREE,,current working tree,5,E,180.6708,11.1000,"translate([0, 0, tuned_length(214.15)- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 11.1);"
WORKTREE,,current working tree,6,F#,152.9138,11.1300,"translate([0, 0, tuned_length(186.2)- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 11.13);"
168b381fe8ff,2026-07-05,Tune quena hole geometry,1,A,306.6445,10.1000,"translate([0, 0, tuned_length(341)- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 10.1);"
168b381fe8ff,2026-07-05,Tune quena hole geometry,2,B,268.6588,10.3500,"translate([0, 0, tuned_length(302.75)- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 10.35);"
168b381fe8ff,2026-07-05,Tune quena hole geometry,3,C,245.3211,9.7500,"translate([0, 0, tuned_length(279.25)- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 9.75);"
168b381fe8ff,2026-07-05,Tune quena hole geometry,4,D,211.8042,11.1000,"translate([0, 0, tuned_length(245.5)- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 11.1);"
168b381fe8ff,2026-07-05,Tune quena hole geometry,5,E,180.6708,11.1000,"translate([0, 0, tuned_length(214.15)- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 11.1);"
168b381fe8ff,2026-07-05,Tune quena hole geometry,6,F#,152.9138,11.1300,"translate([0, 0, tuned_length(186.2)- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 11.13);"
a36f6253471d,2026-07-02,idk latest,1,A,307.6376,10.0000,"translate([0, 0, tuned_length(342)- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 10);"
a36f6253471d,2026-07-02,idk latest,2,B,273.1277,10.0000,"translate([0, 0, tuned_length(307.25)- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 10);"
a36f6253471d,2026-07-02,idk latest,3,C,247.8038,9.5000,"translate([0, 0, tuned_length(281.75)- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 10 - 0.5);"
a36f6253471d,2026-07-02,idk latest,4,D,212.7973,11.0000,"translate([0, 0, tuned_length(246.5)- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 12 - 1);"
a36f6253471d,2026-07-02,idk latest,5,E,181.5149,11.0000,"translate([0, 0, tuned_length(215)- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 11);"
a36f6253471d,2026-07-02,idk latest,6,F#,154.7014,10.8800,"translate([0, 0, tuned_length(188)- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 10.13 + 0.75);"
bd0c2fdb3795,2026-03-27,this could be it,1,A,310.0000,10.0000,"translate([0, 0, 342- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 10);"
bd0c2fdb3795,2026-03-27,this could be it,2,B,275.2500,10.0000,"translate([0, 0, 307.25- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 10);"
bd0c2fdb3795,2026-03-27,this could be it,3,C,249.7500,9.5000,"translate([0, 0, 281.75- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 10 - 0.5);"
bd0c2fdb3795,2026-03-27,this could be it,4,D,214.5000,11.0000,"translate([0, 0, 246.5- mouthpiece_active_length+zadj]) rotate([5, 90, 0]) cylinder(h = od, d = 12 - 1);"
bd0c2fdb3795,2026-03-27,this could be it,5,E,183.0000,11.0000,"translate([0, 0, 215- mouthpiece_active_length+zadj]) rotate([-5, 90, 0]) cylinder(h = od, d = 11);"
bd0c2fdb3795,2026-03-27,this could be it,6,F#,156.0000,10.8800,"translate([0, 0, 188- mouthpiece_active_length+zadj]) rotate([0, 90, 0]) cylinder(h = od, d = 10.13 + 0.75);"
